epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,2307.36,1.27976,0.83975,1.40825,0.96463,0.90706,0.93998,0.47454,1.60646,0.78066,1.48999,0.000333313,0.000333313,0.067002
2,4862.79,1.26001,0.82647,1.39864,0.96431,0.92315,0.95013,0.55297,1.37831,0.68059,1.35544,0.000665995,0.000665995,0.0340014
3,7041.82,1.23212,0.78021,1.37973,0.97536,0.92802,0.95685,0.5872,1.30765,0.60806,1.29714,0.000996077,0.000996077,0.000998101
4,9161.19,1.20149,0.7369,1.35467,0.97454,0.93303,0.95945,0.60937,1.25476,0.56807,1.26554,0.000991232,0.000991232,0.000991232
5,11247.4,1.18238,0.69502,1.34356,0.98414,0.9328,0.96024,0.62413,1.22248,0.54092,1.24895,0.000984449,0.000984449,0.000984449
6,13329.4,1.16109,0.66548,1.32887,0.97961,0.94139,0.96076,0.62746,1.22257,0.52413,1.24676,0.000975773,0.000975773,0.000975773
7,15451.3,1.14692,0.63852,1.31891,0.97967,0.94388,0.96052,0.6271,1.22664,0.51717,1.24572,0.000965239,0.000965239,0.000965239
8,17857.4,1.13761,0.61958,1.3155,0.98004,0.93949,0.96071,0.62923,1.228,0.51404,1.24461,0.000952889,0.000952889,0.000952889
9,19984.3,1.128,0.60485,1.30629,0.98079,0.93023,0.95868,0.6225,1.2357,0.52931,1.24539,0.000938772,0.000938772,0.000938772
10,24263.9,1.08145,0.5803,1.2779,0.98079,0.93023,0.95868,0.6225,1.2357,0.52931,1.24539,0.000922942,0.000922942,0.000922942
11,1859.74,1.12675,0.61952,1.23693,0.98462,0.93348,0.95842,0.61994,1.23811,0.52696,1.19154,0.000905463,0.000905463,0.000905463
12,3191.82,1.11616,0.58866,1.22668,0.98419,0.93617,0.95932,0.62477,1.22693,0.51421,1.18405,0.000886404,0.000886404,0.000886404
13,4524.41,1.10165,0.56921,1.22056,0.98048,0.93832,0.96027,0.62733,1.22016,0.50469,1.17904,0.000865839,0.000865839,0.000865839
14,5854.24,1.09537,0.55476,1.21456,0.98079,0.93941,0.96105,0.63156,1.21126,0.49699,1.17195,0.000843851,0.000843851,0.000843851
15,7175.86,1.08267,0.53506,1.20754,0.98143,0.93896,0.96148,0.63186,1.21034,0.48907,1.16842,0.000820525,0.000820525,0.000820525
16,8510.27,1.07784,0.52451,1.20053,0.98379,0.93986,0.96147,0.63378,1.20404,0.48233,1.16313,0.000795954,0.000795954,0.000795954
17,11105.9,1.03945,0.52336,1.18559,0.98379,0.93986,0.96147,0.63378,1.20404,0.48233,1.16313,0.000770234,0.000770234,0.000770234
18,12415.6,1.09177,0.55001,1.20909,0.98429,0.94223,0.96219,0.6396,1.18976,0.47001,1.15742,0.000743468,0.000743468,0.000743468
